Total other Criminal Code violations,Total property crime violations,Total violent Criminal Code violations,"Total, all Criminal Code violations (excluding traffic)",Rate Total other Criminal Code violations,Rate Total property crime violations,Rate Total violent Criminal Code violations,"Rate Total, all Criminal Code violations (excluding traffic)",geography,year
153.0,576.0,251.0,980.0,742.07,2793.68,1217.38,4753.13,"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",2016
137.0,474.0,204.0,815.0,662.54,2292.29,986.56,3941.39,"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",2017
6.0,33.0,11.0,50.0,,,,,"Annapolis Royal, Nova Scotia, municipal",2010
21.0,21.0,21.0,63.0,,,,,"Annapolis Royal, Nova Scotia, municipal",2011
25.0,22.0,13.0,60.0,,,,,"Annapolis Royal, Nova Scotia, municipal",2012
25.0,25.0,14.0,64.0,,,,,"Annapolis Royal, Nova Scotia, municipal",2013
20.0,15.0,11.0,46.0,,,,,"Annapolis Royal, Nova Scotia, municipal",2014
15.0,18.0,9.0,42.0,,,,,"Annapolis Royal, Nova Scotia, municipal",2015
19.0,33.0,10.0,62.0,,,,,"Annapolis Royal, Nova Scotia, municipal",2016
11.0,49.0,11.0,71.0,,,,,"Annapolis Royal, Nova Scotia, municipal",2017
76.0,306.0,136.0,518.0,494.76,1992.06,885.36,3372.18,"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural",2010
63.0,229.0,81.0,373.0,409.06,1486.92,525.94,2421.92,"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural",2011
83.0,304.0,145.0,532.0,543.62,1991.09,949.7,3484.41,"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural",2012
93.0,240.0,127.0,460.0,615.69,1588.88,840.78,3045.35,"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural",2013
108.0,261.0,140.0,509.0,719.71,1739.3,932.96,3391.98,"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural",2014
75.0,254.0,119.0,448.0,501.37,1697.97,795.51,2994.85,"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural",2015
60.0,298.0,138.0,496.0,400.67,1989.98,921.54,3312.19,"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural",2016
71.0,246.0,100.0,417.0,473.74,1641.42,667.24,2782.41,"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural",2017
116.0,276.0,111.0,503.0,2529.99,6019.63,2420.94,10970.56,"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",2010
147.0,254.0,94.0,495.0,3164.01,5467.07,2023.25,10654.33,"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",2011
193.0,300.0,144.0,637.0,4171.17,6483.68,3112.17,13767.02,"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",2012
128.0,204.0,118.0,450.0,2792.32,4450.26,2574.17,9816.75,"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",2013
149.0,245.0,96.0,490.0,3270.41,5377.52,2107.11,10755.05,"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",2014
81.0,234.0,91.0,406.0,1785.71,5158.73,2006.17,8950.62,"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",2015
124.0,331.0,109.0,564.0,2721.09,7263.55,2391.92,12376.56,"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",2016
103.0,301.0,118.0,522.0,2260.26,6605.22,2589.42,11454.9,"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",2017
94.0,207.0,151.0,452.0,1171.63,2580.08,1882.09,5633.8,"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",2010
70.0,222.0,136.0,428.0,876.2,2778.82,1702.34,5357.37,"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",2011
